id,context_type,label
1435260815536427014,Concern,A
1435216932345626631,Inquiry,A
1435195732173246465,Flu_News,A
1435192409261019139,Concern,A
1435189500515340296,Medical Information,A
1435176318174384130,Warning,A
1435111912342183939,Concern,A
1435091251137810432,Inquiry,A
1434994482781605912,Medical Information,A
1434989222054739975,Concern,A
1434986024480948226,Concern,A
1434984758715506690,Inquiry,A
1434968097983709186,Inquiry,A
1434962986578452481,Concern,A
1434956612209364997,Warning,A
1434943793057472526,Concern,A
1434909090191495168,Flu_News,A
1434908042672238593,Flu_News,A
1434893115849121794,Warning,A
1434889577060261888,Flu_News,A
1434884250877243396,Flu_News,A
1434869032759476225,Concern,A
1434865318057414662,Flu_News,A
1434836612899344384,Inquiry,A
1434811180422475776,Flu_News,A
1434793514043387906,Flu_News,A
1434783811435384832,Concern,A
1434778486703542282,Inquiry,A
1434761567250362370,Flu_News,A
1434761469011406851,Flu_News,A
1434760644583174145,Flu_News,A
1434760242710073345,Flu_News,A
1434759930238619649,Flu_News,A
1434759205911777280,Flu_News,A
1434753259961569286,Flu_News,A
1434736083791753219,Complaint,I
1434733256042221570,Concern,A
1434683436023926791,Sideburn,U
1434652568324562952,Flu_News,A
1434635978266775555,Concern,A
1434593013267931138,Inquiry,A
1434584076741189636,Inquiry,A
1434571281672949762,Inquiry,A
1434546306048008195,Concern,A
1434529954956562441,Warning,A
1434525686341963782,Concern,A
1434501619819945984,Inquiry,A
1434499566607421446,Concern,A
1434489389531418628,Inquiry,A
1434474688453939202,Inquiry,A
1434467965647429638,Inquiry,A
1434465261713776646,Concern,A
1434453239961989126,Warning,A
1434445720128524288,Flu_News,A
1434443686759354369,Flu_News,A
1434442306745245699,Concern,A
1434423490275385344,Flu_News,A
1434420199575457794,Flu_News,A
1434420186535403524,Flu_News,A
1434419673311977472,Flu_News,A
1434419379190521860,Flu_News,A
1434418939002507268,Flu_News,A
1434417964644806656,Inquiry,A
1434416540833701889,Complaint,I
1434375581014106112,Inquiry,A
1434373303792250885,Flu_News,A
1434370703378243587,Flu_News,A
1434367000961175553,Supplication,U
1434336429446995968,Concern,A
1434272043831267333,Flu_News,A
1434267393451233285,Concern,A
1434257246146416645,Sideburn,U
1434239272169652231,Inquiry,A
1434236212097732612,Concern,A
1434226660375764998,Concern,A
1434221679656542208,Out-of-date event,A
1434210010062639107,Inquiry,A
1434207012058017793,Concern,A
1434206954021343296,Inquiry,A
1434201835909394442,Concern,A
1434179960101654531,Flu_News,A
1434147769741160449,Inquiry,A
1434122861699026944,Flu_News,A
1434101433964679170,Flu_News,A
1434052133364682755,Concern,A
1434025447545835521,Inquiry,A
1433993582826954754,Sideburn,U
1433902915161366531,Sideburn,U
1433852578585096196,Warning,A
1433851759601102851,Out-of-date event,A
1433830673039695872,Inquiry,A
1433794408466485248,Flu_News,A
1433779940596584451,Inquiry,A
1433774099331960834,Sideburn,U
1433765525197316105,Concern,A
1433759524758835203,Inquiry,A
1433738832709505024,Warning,A
1433733182327828486,Flu_News,A
1433711880296673294,Concern,A
1433682053355253763,Concern,A
1433560035552940044,Inquiry,A
1433539210263158784,Inquiry,A
1433530425008214017,Inquiry,A
1433508397165449218,Concern,A
1433487206094626822,Warning,A
1433484605865222145,Flu_News,A
1433477163945242632,Concern,A
1433460299739373572,Inquiry,A
1433456803585605638,Sideburn,U
1433454906875289601,Concern,A
1433449393018048516,Health_issue,U
1433428413964972044,Flu_News,A
1433428411372900364,Flu_News,A
1433415375518158853,Inquiry,A
1433413280824012808,Concern,A
1433408736090017793,Sideburn,U
1433401274427445255,Inquiry,A
1433392377285251075,Medical Information,A
1433389398649970688,Flu_News,A
1433386084549988354,Concern,A
1433384407180664837,Inquiry,A
1433375073050759168,Flu_News,A
1433374215990829057,Flu_News,A
1433373865368068098,Flu_News,A
1433372713079410688,Flu_News,A
1433371392616058883,Flu_News,A
1433369318419533836,Flu_News,A
1433358462549962755,Concern,A
1433355719068327937,Inquiry,A
1433353381859536900,Inquiry,A
1433342436458254336,Sideburn,U
1433300039586226178,Flu_News,A
1433267943316537348,Flu_News,A
1433195462681677827,Flu_News,A
1433186566004957184,Inquiry,A
1433159767074168842,Concern,A
1433152395060695040,Inquiry,A
1433143826537979908,Sideburn,U
1433135641970290689,Concern,A
1433134727502995458,Inquiry,A
1433117091687710726,Inquiry,A
1433111846328979463,Inquiry,A
1433099407554236416,Flu_News,A
1433098061522378762,Flu_News,A
1433097013978087431,Flu_News,A
1433059643589267466,Sideburn,U
1433054544737542145,Flu_News,A
1433037653054836741,Flu_News,A
1433033055464198149,Concern,A
1433030340872916993,Flu_News,A
1433018739927224320,Flu_News,A
1433018702308519937,Flu_News,A
1433017099212017665,Flu_News,A
1433017080002097154,Flu_News,A
1433016784576294917,Inquiry,A
1433015404507635723,Flu_News,A
1433012517857546241,Flu_News,A
1433010136046575617,Flu_News,A
1432976271718469638,Concern,A
1432961999781171204,Flu_News,A
1432944715205431298,Medical Information,A
1432918916985151489,Inquiry,A
1432905501566722049,Concern,A
1432903375604039682,Concern,A
1432902551444279296,Concern,A
1432874126834872324,Warning,A
1432831199496519681,Concern,A
1432798673054932995,Inquiry,A
1432760600925544455,Out-of-date event,A
1432641790604099587,Inquiry,A
1432623858474004484,Inquiry,A
1432614855375265794,Concern,A
1432591054218334209,Inquiry,A
1432513963351232521,Concern,A
1432489745091899393,Concern,A
1432470971156414466,Concern,A
